Subzone Name	Subzone Code	Central Area Indicator	Planning Area Name	Planning Area Code	Region Name	Region Code	INC_CRC	FMEL_UPD_D	X_ADDR	Y_ADDR	SHAPE_Length	SHAPE_Area
BUGIS	DTSZ01	Y	DOWNTOWN CORE	DT	CENTRAL REGION	CR	E042FEB6C937D5A5	12/5/2014 9:26:20 PM	30528.3347	31278.4644	2658.881648	280174.7667
PEOPLE'S PARK	OTSZ02	Y	OUTRAM	OT	CENTRAL REGION	CR	B4120D23006C932A	12/5/2014 9:26:20 PM	28831.7807	29419.6457	1822.192718	93140.43764
CHINATOWN	OTSZ03	Y	OUTRAM	OT	CENTRAL REGION	CR	0FF1661344C84AED	12/5/2014 9:26:20 PM	29153.9676	29158.0443	4297.59991	587222.6789
WOODLANDS REGIONAL CENTRE	WDSZ01	N	WOODLANDS	WD	NORTH REGION	NR	8AEF535CD000EA39	12/5/2014 9:26:20 PM	22571.2094	46698.8735	3254.343275	595652.1439
YISHUN CENTRAL	YSSZ01	N	YISHUN	YS	NORTH REGION	NR	796B74418F857A6C	12/5/2014 9:26:20 PM	28483.0705	45383.3344	2549.643182	436368.5338
SIMEI	TMSZ04	N	TAMPINES	TM	EAST REGION	ER	80BC46AD51E70C08	12/5/2014 9:26:20 PM	41431.0631	35870.7852	7402.560779	2778635.655
JURONG WEST CENTRAL	JWSZ09	N	JURONG WEST	JW	WEST REGION	WR	1D90F8ED7A36C82C	12/5/2014 9:26:20 PM	13396.6261	35811.7261	4649.79715	1404536.643
JURONG GATEWAY	JESZ05	N	JURONG EAST	JE	WEST REGION	WR	857DAA77ED3346BF	12/5/2014 9:26:20 PM	17912.9778	35033.9061	3096.98411	554623.6757
SERANGOON CENTRAL	SGSZ06	N	SERANGOON	SG	NORTH-EAST REGION	NER	3E0A343DED145DD2	12/5/2014 9:26:20 PM	32157.3746	37148.607	4784.623169	1061889.353
BEDOK SOUTH	BDSZ06	N	BEDOK	BD	EAST REGION	ER	1E89C4218E6421C2	12/5/2014 9:26:20 PM	40379.4208	33744.2238	7811.589025	2997307.459
RAFFLES PLACE	DTSZ05	Y	DOWNTOWN CORE	DT	CENTRAL REGION	CR	72107B11807074F4	12/5/2014 9:26:20 PM	29968.6175	29572.7618	1872.752161	188767.4897
SOMERSET	ORSZ03	Y	ORCHARD	OR	CENTRAL REGION	CR	F70C32D861DD6CA5	12/5/2014 9:26:20 PM	28626.5611	31494.9048	3039.805232	329437.9332
SENTOSA	SISZ01	N	SOUTHERN ISLANDS	SI	CENTRAL REGION	CR	A6FCDC9C447952CB	12/5/2014 9:26:20 PM	27593.9393	25813.3546	17496.19374	4919132.37
